OD / in,OD / mm,Order Num,Length / in,Length / mm,Rate / lbs per in,Rate / N per mm,Initial Tension / lbs,Initial Tension / N,Sugg. Max. Defl. / in,Sugg. Max. Defl. / mm,Sugg. Max. Load / lbs,Sugg. Max. Load / N,Wire Dia. / in,Wire Dia. / mm,MAT'L,FNSH
0.188,4.78,S-523,1.50,38.1,2.8,.49,.6,3,.97,25,3.4,15,0.026,0.66,SST,N
0.188,4.78,444,1.53,38.9,1.0,.18,.3,1,2.3,57,2.6,12,0.021,0.53,MW,Z
0.188,4.78,ZZ3-15,1.56,39.7,7.5,1.3,1,6,.60,15,5.8,26,0.031,0.79,SST,N
0.188,4.78,S-524,1.63,41.3,.61,.11,.2,.9,2.2,55,1.5,6.9,0.020,0.51,SST,N
0.188,4.78,5253,1.69,42.8,2.4,.41,.6,3,1.5,39,4.2,19,0.025,0.64,MW,Z
0.188,4.78,S-525,1.75,44.5,.25,.04,.1,.5,3.4,87,.95,4.2,0.017,0.43,SST,N
0.188,4.78,S-526,1.75,44.5,2.3,.40,.6,3,1.2,30,3.4,15,0.026,0.66,SST,N
0.188,4.78,423,1.78,45.2,.66,.11,.2,1,3.1,78,2.2,10,0.020,0.51,MW,Z
0.188,4.78,165-B,1.88,47.6,.13,.02,.07,.3,6.7,170,.94,4.2,0.015,0.38,MW,Z
0.188,4.78,166-B,1.88,47.6,.18,.03,.09,.4,5.9,149,1.1,5.1,0.016,0.41,MW,Z
0.188,4.78,252-B,1.88,47.6,.34,.06,.1,.6,4.4,111,1.6,7.2,0.018,0.46,MW,Z
0.188,4.78,251-B,1.88,47.6,.60,.10,.2,1,3.4,86,2.2,10,0.020,0.51,MW,Z
0.188,4.78,ZZ1-50,1.88,47.6,.66,.11,.2,1,3.1,78,2.2,10,0.020,0.51,MW,N
0.188,4.78,167-B,1.88,47.6,2.0,.35,.6,3,1.8,46,4.2,19,0.025,0.64,MW,Z
0.188,4.78,537,1.88,47.6,5.4,.95,1,6,1.1,29,7.4,33,0.030,0.76,MW,Z
0.188,4.78,553,1.88,47.6,9.8,1.7,2,9,.76,19,9.4,42,0.037,0.94,PB,N
0.188,4.78,5187,1.94,49.2,1.3,.22,.4,2,2.4,60,3.5,15,0.023,0.58,MW,Z
0.188,4.78,ZZ4-30,1.97,50.0,.99,.17,.3,1,2.7,68,3.0,13,0.022,0.56,MW,Z
0.188,4.78,5664,1.97,50.0,1.3,.23,.4,2,2.4,60,3.5,15,0.023,0.58,MW,Z
0.188,4.78,S-527,2.00,50.8,.47,.08,.2,.9,2.8,71,1.5,6.9,0.020,0.51,SST,N
0.188,4.78,ZZ3-33,2.00,50.8,.60,.11,.2,1,3.4,85,2.2,10,0.020,0.51,MW,Z
0.188,4.78,5684,2.00,50.8,.94,.17,.3,1,2.8,72,3.0,13,0.022,0.56,MW,Z
0.188,4.78,6085,2.00,50.8,11,1.9,2,10,.80,20,11,49,0.034,0.86,MW,Z
0.188,4.78,5256,2.25,57.2,1.1,.19,.4,2,2.8,72,3.5,15,0.023,0.58,MW,Z
0.188,4.78,ZZ3-70,2.25,57.2,5.6,.98,1,7,1.2,31,8.2,36,0.031,0.79,MW,N
0.188,4.78,ZZ3-69,2.38,60.3,4.5,.79,1,6,.98,25,5.8,26,0.031,0.79,SST,N
0.188,4.78,5252,2.47,62.7,.96,.17,.4,2,3.2,80,3.5,15,0.023,0.58,MW,Z
0.188,4.78,165-C,2.50,63.5,.09,.02,.07,.3,9.3,237,.94,4.2,0.015,0.38,MW,Z
0.188,4.78,166-C,2.50,63.5,.14,.02,.09,.4,7.8,198,1.1,5.1,0.016,0.41,MW,Z
0.188,4.78,252-C,2.50,63.5,.25,.04,.1,.6,6.0,152,1.6,7.2,0.018,0.46,MW,Z
0.188,4.78,251-C,2.50,63.5,.44,.08,.2,1,4.7,118,2.2,10,0.020,0.51,MW,Z
0.188,4.78,167-C,2.50,63.5,1.5,.26,.6,3,2.5,64,4.2,19,0.025,0.64,MW,Z
0.188,4.78,O-9,3.00,76.2,2.6,.46,1,5,2.1,54,6.6,30,0.029,0.74,MW,N
0.188,4.78,536,3.06,77.8,3.8,.66,1,7,1.8,45,8.2,36,0.031,0.79,MW,Z
0.188,4.78,5371,3.31,84.1,.35,.06,.2,1,5.8,148,2.2,10,0.020,0.51,MW,Z
0.188,4.78,ZZ4-65,3.44,87.3,.41,.07,.3,1,5.8,146,2.6,12,0.021,0.53,MW,Z
0.188,4.78,5192-A,3.88,98.4,.90,.16,.6,3,4.1,103,4.2,19,0.025,0.64,MW,Z
0.188,4.78,108,5.00,127.0,.44,.08,.4,2,6.9,176,3.5,15,0.023,0.58,MW,Z
0.188,4.78,5163,5.00,127.0,.44,.08,.4,2,7.0,177,3.5,15,0.023,0.58,MW,Z
0.188,4.78,B7-64,5.03,127.8,4.4,.76,3,11,1.5,37,8.9,40,0.035,0.89,SPR,N
0.188,4.78,5196,6.00,152.4,.36,.06,.4,2,8.5,215,3.5,15,0.023,0.58,MW,Z
0.188,4.78,5208,7.88,200.0,.43,.07,.6,3,8.6,218,4.2,19,0.025,0.64,MW,Z
0.188,4.78,5812,12.3,311.2,.14,.02,.3,1,20,496,3.0,13,0.022,0.56,MW,Z
0.203,5.16,M-51,.50,12.7,2.0,.35,.2,.7,.81,20,1.8,7.9,0.019,0.48,MW,Z
0.203,5.16,5262,.53,13.5,.31,.05,.02,.1,1.5,39,.49,2.2,0.012,0.30,MW,Z
0.203,5.16,411,.59,15.1,5.5,.97,.3,2,.51,13,3.2,14,0.023,0.58,MW,Z
0.203,5.16,ZZ1-57,.94,23.8,.55,.10,.09,.4,2.2,55,1.3,5.7,0.017,0.43,MW,Z
0.203,5.16,5829,.94,23.8,2.0,.35,.3,1,.95,24,2.2,9.7,0.023,0.58,SST,N
0.203,5.16,O-4**,.94,23.8,2.2,.39,.3,2,1.3,33,3.2,14,0.023,0.58,MW,N
0.203,5.16,M-50,1.19,30.2,.20,.03,.06,.3,4.1,104,.87,3.9,0.015,0.38,MW,N
0.203,5.16,ZZ1-4,1.22,31.0,4.7,.82,.8,4,1.0,26,5.5,25,0.028,0.71,MW,Z
0.203,5.16,M-85,1.25,31.8,.10,.02,.03,.1,6.0,152,.63,2.8,0.013,0.33,MW,N
0.203,5.16,5103,1.38,34.9,3.9,.68,.7,3,1.1,28,4.9,22,0.027,0.69,MW,Z
0.203,5.16,M-45,1.50,38.1,4.2,.73,.9,4,1.2,31,6.1,27,0.029,0.74,MW,GI
0.203,5.16,5510,1.69,42.8,1.8,.32,.5,2,1.8,47,3.9,17,0.025,0.64,MW,Z
0.203,5.16,5242**,2.00,50.8,2.3,.40,.7,3,1.9,48,4.9,22,0.027,0.69,MW,Z
0.203,5.16,ZZ3-54,3.00,76.2,.47,.08,.3,1,5.3,134,2.8,12,0.022,0.56,MW,GI
0.203,5.16,5444,3.94,100.0,.89,.16,.6,3,4.3,109,4.4,20,0.026,0.66,MW,Z
0.203,5.16,5229,4.00,101.6,1.0,.18,.7,3,4.2,107,4.9,22,0.027,0.69,MW,Z
0.203,5.16,A10-33,4.06,103.2,.99,.17,.7,3,4.3,110,4.9,22,0.027,0.69,MW,Z
0.203,5.16,5215,8.00,203.2,.50,.09,.7,3,8.6,219,4.9,22,0.027,0.69,MW,Z
0.219,5.56,467,.44,11.1,1.5,.26,.06,.3,.62,16,.98,4.4,0.016,0.41,MW,Z
0.219,5.56,M-28,.47,11.9,67,12,1,6,.07,1.9,6.3,28,0.033,0.84,SPR,Z
0.219,5.56,A-58,.47,11.9,83,14,2,10,.08,2.0,8.8,39,0.037,0.94,SPR,Z
0.219,5.56,ZZ1-37,.59,15.1,5.9,1.0,.3,2,.50,13,3.3,15,0.024,0.61,MW,Z
0.219,5.56,5395,.69,17.4,.41,.07,.05,.2,1.8,46,.81,3.6,0.015,0.38,MW,N
0.219,5.56,5405,.69,17.4,.72,.13,.08,.4,1.5,39,1.2,5.2,0.017,0.43,MW,N
0.219,5.56,B3-24,.69,17.4,1.3,.23,.2,.7,1.3,33,1.9,8.5,0.020,0.51,MW,Z
0.219,5.56,B3-5,.69,17.4,16,2.8,1,5,.28,7.1,5.7,25,0.032,0.81,SPR,N
0.219,5.56,5772,.69,17.4,22,3.8,1,5,.29,7.4,7.6,34,0.032,0.81,MW,Z
0.219,5.56,M-57,.78,19.8,7.2,1.3,.7,3,.62,16,5.1,23,0.028,0.71,MW,Z
0.219,5.56,492,.78,19.8,12,2.2,1,5,.48,12,7.0,31,0.031,0.79,MW,Z
0.219,5.56,M-135,.81,20.6,5.2,.91,.6,3,.76,19,4.5,20,0.027,0.69,MW,N
0.219,5.56,M-30,.88,22.2,3.1,.55,.3,2,.95,24,3.3,15,0.024,0.61,MW,Z
0.219,5.56,407,.88,22.2,10,1.7,.9,4,.54,14,6.3,28,0.034,0.86,PB,N
0.219,5.56,5583,.94,23.8,.18,.03,.04,.2,3.8,97,.73,3.2,0.014,0.36,MW,Z
0.219,5.56,478,.94,23.8,1.2,.21,.2,.7,1.4,37,1.9,8.5,0.020,0.51,MW,Z
0.219,5.56,5436,1.00,25.4,.47,.08,.09,.4,2.3,59,1.2,5.3,0.017,0.43,MW,N
0.219,5.56,5481,1.00,25.4,5.2,.90,.7,3,.86,22,5.1,23,0.028,0.71,MW,Z
0.219,5.56,5263**,1.00,25.4,8.3,1.5,.9,4,.65,16,6.3,28,0.030,0.76,MW,Z
0.219,5.56,5765,1.16,29.4,.42,.07,.08,.4,2.6,67,1.2,5.2,0.017,0.43,MW,N
0.219,5.56,ZZ3-27,1.19,30.2,2.2,.39,.4,2,1.4,36,3.6,16,0.025,0.64,MW,Z
0.219,5.56,558,1.25,31.8,1.1,.19,.2,1,2.2,55,2.6,11,0.022,0.56,MW,Z
0.219,5.56,ZZ3-46,1.44,36.5,.34,.06,.1,.5,3.9,99,1.4,6.2,0.018,0.46,MW,N
0.219,5.56,449,1.44,36.5,10,1.8,2,8,.54,14,7.4,33,0.035,0.89,SPR,Z
0.219,5.56,168-A,1.50,38.1,.15,.03,.06,.3,6.1,155,.98,4.4,0.016,0.41,MW,Z
0.219,5.56,253-A,1.50,38.1,.28,.05,.1,.5,4.7,119,1.4,6.2,0.018,0.46,MW,Z
0.219,5.56,169-A,1.50,38.1,.49,.09,.2,.7,3.6,92,1.9,8.5,0.020,0.51,MW,Z
0.219,5.56,170-A,1.50,38.1,1.1,.19,.3,1,2.4,60,2.9,13,0.023,0.58,MW,Z
0.219,5.56,N-100,1.63,41.3,2.3,.41,.6,3,1.7,43,4.5,20,0.027,0.69,MW,Z
0.219,5.56,5548**,1.69,42.8,.27,.05,.1,.5,4.8,121,1.4,6.2,0.018,0.46,MW,Z
0.219,5.56,168-B,1.88,47.6,.11,.02,.06,.3,8.0,204,.98,4.4,0.016,0.41,MW,Z
0.219,5.56,253-B,1.88,47.6,.21,.04,.1,.5,6.3,159,1.4,6.2,0.018,0.46,MW,Z
0.219,5.56,169-B,1.88,47.6,.37,.06,.2,.7,4.7,120,1.9,8.5,0.020,0.51,MW,Z
0.219,5.56,ZZ2-34,1.88,47.6,.38,.07,.2,.7,4.6,116,1.9,8.5,0.020,0.51,MW,GI
0.219,5.56,170-B,1.88,47.6,.79,.14,.3,1,3.4,85,2.9,13,0.023,0.58,MW,Z
0.219,5.56,ZZ1-48,2.00,50.8,2.2,.38,.7,3,2.0,51,5.1,23,0.028,0.71,MW,Z
0.219,5.56,428,2.06,52.4,.42,.07,.2,.9,4.8,123,2.2,9.9,0.021,0.53,MW,Z
0.219,5.56,168-C,2.50,63.5,.08,.01,.06,.3,11,284,.98,4.4,0.016,0.41,MW,Z
0.219,5.56,5184,2.50,63.5,.12,.02,.08,.4,9.1,232,1.2,5.2,0.017,0.43,MW,Z
0.219,5.56,253-C,2.50,63.5,.15,.03,.1,.5,8.6,217,1.4,6.2,0.018,0.46,MW,Z
0.219,5.56,169-C,2.50,63.5,.27,.05,.2,.7,6.6,168,1.9,8.5,0.020,0.51,MW,Z
0.219,5.56,170-C,2.50,63.5,.56,.10,.3,1,4.7,120,2.9,13,0.023,0.58,MW,Z
0.219,5.56,M-122,2.63,66.7,.14,.02,.1,.5,9.2,234,1.4,6.2,0.018,0.46,MW,N
0.219,5.56,308,3.25,82.6,.65,.11,.4,2,4.9,125,3.6,16,0.025,0.64,MW,Z
0.219,5.56,5089,4.94,125.4,.27,.05,.3,1,9.8,249,2.9,13,0.023,0.58,MW,Z
0.219,5.56,5193,5.94,150.8,.53,.09,.6,3,7.5,190,4.5,20,0.027,0.69,MW,Z
0.234,5.94,ZZ1-31,.59,15.1,3.0,.53,.2,.7,.63,16,2.1,9.3,0.021,0.53,MW,N
0.234,5.94,5527,.63,15.9,2.3,.41,.2,.7,.83,21,2.1,9.3,0.021,0.53,MW,N
0.234,5.94,ZZ1-42,.63,15.9,9.8,1.7,.7,3,.47,12,5.3,23,0.029,0.74,MW,N
0.234,5.94,5299,.66,16.7,15,2.7,.8,3,.33,8.5,5.9,26,0.030,0.76,MW,Z
0.234,5.94,5628,.66,16.7,16,2.8,.9,4,.35,9.0,6.5,29,0.031,0.79,MW,Z
0.234,5.94,ZZ2-25,.69,17.4,1.3,.23,.1,.5,1.1,28,1.5,6.9,0.019,0.48,MW,N
0.234,5.94,5414,.75,19.1,1.8,.31,.2,.9,1.2,31,2.4,11,0.022,0.56,MW,GI
0.234,5.94,M-138,.78,19.8,2.0,.35,.2,.9,1.1,27,2.4,11,0.022,0.56,MW,N
0.234,5.94,S-629,.91,23.0,12,2.1,1,4,.33,8.5,5.0,22,0.032,0.81,SST,N
0.234,5.94,A-54,.94,23.8,2.2,.39,.3,1,1.3,32,3.1,14,0.024,0.61,MW,GI
0.234,5.94,5285,.97,24.6,9.2,1.6,.9,4,.61,15,6.5,29,0.031,0.79,MW,N
0.234,5.94,5181,1.00,25.4,1.4,.25,.2,.9,1.5,39,2.4,11,0.022,0.56,MW,Z
0.234,5.94,5404,1.00,25.4,8.4,1.5,.9,4,.67,17,6.5,29,0.031,0.79,MW,Z
0.234,5.94,5389,1.00,25.4,27,4.6,2,9,.25,6.4,8.8,39,0.038,0.97,SPR,Z
0.234,5.94,5305**,1.03,26.2,.12,.02,.03,.1,5.3,133,.68,3.0,0.014,0.36,MW,N
0.234,5.94,443,1.03,26.2,1.6,.29,.2,1,1.5,39,2.7,12,0.023,0.58,MW,Z
0.234,5.94,458,1.03,26.2,2.0,.35,.3,1,1.4,35,3.1,14,0.024,0.61,MW,Z
0.234,5.94,5385,1.06,27.0,2.5,.43,.4,2,1.2,31,3.3,15,0.025,0.64,MW,N
0.234,5.94,M-149,1.06,27.0,8.6,1.5,1,4,.71,18,7.2,32,0.032,0.81,MW,N
0.234,5.94,439,1.09,27.8,.67,.12,.1,.6,2.5,63,1.8,8.0,0.020,0.51,MW,Z
0.234,5.94,5244,1.13,28.6,12,2.1,1,7,.43,11,6.8,30,0.035,0.89,SPR,BO
0.234,5.94,S-652,1.28,32.5,26,4.6,3,13,.30,7.6,11,48,0.041,1.04,SST,N
0.234,5.94,5194,1.44,36.5,1.3,.23,.4,2,2.2,57,3.3,15,0.025,0.64,MW,Z
0.234,5.94,ZZ1-12,1.69,42.8,.41,.07,.2,.7,3.1,80,1.4,6.4,0.021,0.53,SST,N
0.234,5.94,B6-28,1.72,43.6,2.8,.49,.8,3,1.8,46,5.9,26,0.030,0.76,MW,N
0.234,5.94,ZZ3-40,1.78,45.2,3.6,.64,.9,4,1.5,39,6.5,29,0.031,0.79,MW,Z
0.234,5.94,B6-25,1.78,45.2,6.2,1.1,1,7,.84,21,6.8,30,0.035,0.89,SPR,N
0.234,5.94,5640,2.13,54.0,30,5.3,6,27,.43,11,19,85,0.048,1.22,SPR,Z
0.234,5.94,5172,2.25,57.2,3.3,.57,1,4,1.3,34,5.4,24,0.032,0.81,HD,Z
0.234,5.94,5279,2.50,63.5,2.4,.41,.9,4,2.4,60,6.5,29,0.031,0.79,MW,Z
0.234,5.94,B6-22,2.53,64.3,1.8,.32,.8,3,2.8,72,5.9,26,0.030,0.76,MW,GI
0.234,5.94,B6-11,3.03,77.0,8.3,1.5,3,13,1.0,25,11,50,0.041,1.04,SPR,GI
0.234,5.94,5185,4.00,101.6,.44,.08,.4,2,6.7,171,3.3,15,0.025,0.64,MW,Z
0.234,5.94,5199,6.00,152.4,.61,.11,.7,3,7.5,191,5.3,23,0.029,0.74,MW,Z
0.234,5.94,5266,7.88,200.0,.38,.07,.6,3,11,281,4.7,21,0.028,0.71,MW,Z
0.240,6.10,80262,.50,12.7,25,4.3,.4,2,.13,3.4,3.6,16,0.026,0.66,MW,N
0.240,6.10,80262S,.50,12.7,21,3.7,.3,1,.10,2.6,2.5,11,0.026,0.66,SST,N
0.240,6.10,80236,.63,15.9,1.4,.25,.1,.5,.83,21,1.3,5.8,0.018,0.46,MW,N
0.240,6.10,80236S,.63,15.9,1.2,.21,.09,.4,.64,16,.88,3.9,0.018,0.46,SST,N
0.240,6.10,80249,.63,15.9,3.8,.67,.2,.9,.56,14,2.3,10,0.022,0.56,MW,N
0.240,6.10,80249S,.63,15.9,3.2,.57,.2,.7,.43,11,1.6,7.0,0.022,0.56,SST,N
0.240,6.10,80263,.63,15.9,8.7,1.5,.4,2,.38,9.6,3.6,16,0.026,0.66,MW,N
0.240,6.10,80263S,.63,15.9,7.4,1.3,.3,1,.29,7.5,2.5,11,0.026,0.66,SST,N
0.240,6.10,80281,.63,15.9,15,2.6,.5,2,.30,7.7,5.0,22,0.029,0.74,MW,N
0.240,6.10,80281S,.63,15.9,13,2.2,.4,2,.24,6.0,3.4,15,0.029,0.74,SST,N
0.240,6.10,80299,.63,15.9,21,3.6,.6,3,.26,6.7,6.1,27,0.031,0.79,MW,N
0.240,6.10,80299S,.63,15.9,18,3.1,.5,2,.20,5.2,4.1,18,0.031,0.79,SST,N
0.240,6.10,80317,.63,15.9,32,5.6,.8,3,.22,5.6,7.9,35,0.034,0.86,MW,N
0.240,6.10,80317S,.63,15.9,27,4.8,.6,3,.17,4.4,5.4,24,0.034,0.86,SST,N
0.240,6.10,80335,.63,15.9,50,8.7,.9,4,.17,4.4,9.4,42,0.037,0.94,MW,N
0.240,6.10,80335S,.63,15.9,42,7.4,.8,3,.14,3.4,6.5,29,0.037,0.94,SST,N
0.240,6.10,80354,.63,15.9,79,14,2,7,.15,3.7,13,58,0.041,1.04,MW,N
0.240,6.10,80354S,.63,15.9,67,12,1,6,.11,2.9,9.0,40,0.041,1.04,SST,N
0.240,6.10,80237,.75,19.1,.83,.14,.1,.5,1.4,37,1.3,5.8,0.018,0.46,MW,N
0.240,6.10,80237S,.75,19.1,.70,.12,.09,.4,1.1,28,.88,3.9,0.018,0.46,SST,N
0.240,6.10,80250,.75,19.1,2.2,.39,.2,.9,.97,25,2.3,10,0.022,0.56,MW,N
0.240,6.10,80250S,.75,19.1,1.9,.33,.2,.7,.75,19,1.6,7.0,0.022,0.56,SST,N
0.240,6.10,80264,.75,19.1,5.2,.91,.4,2,.63,16,3.6,16,0.026,0.66,MW,N
0.240,6.10,80264S,.75,19.1,4.4,.77,.3,1,.49,12,2.5,11,0.026,0.66,SST,N
0.240,6.10,80282,.75,19.1,8.9,1.5,.5,2,.51,13,5.0,22,0.029,0.74,MW,N
0.240,6.10,80282S,.75,19.1,7.5,1.3,.4,2,.40,10,3.4,15,0.029,0.74,SST,N
0.240,6.10,80300,.75,19.1,13,2.3,.6,3,.42,11,6.1,27,0.031,0.79,MW,N
0.240,6.10,80300S,.75,19.1,11,1.9,.5,2,.33,8.4,4.1,18,0.031,0.79,SST,N
0.240,6.10,80318,.75,19.1,20,3.5,.8,3,.36,9.1,7.9,35,0.034,0.86,MW,N
0.240,6.10,80318S,.75,19.1,17,3.0,.6,3,.28,7.1,5.4,24,0.034,0.86,SST,N
0.240,6.10,80336,.75,19.1,32,5.6,.9,4,.27,6.8,9.4,42,0.037,0.94,MW,N
0.240,6.10,80336S,.75,19.1,27,4.7,.8,3,.21,5.4,6.5,29,0.037,0.94,SST,N
0.240,6.10,80355,.75,19.1,55,9.6,1,5,.21,5.3,13,56,0.041,1.04,MW,N
0.240,6.10,80355S,.75,19.1,47,8.2,.9,4,.16,4.2,8.6,38,0.041,1.04,SST,N
0.240,6.10,80238,.88,22.2,.57,.10,.1,.5,2.1,54,1.3,5.8,0.018,0.46,MW,N
0.240,6.10,80238S,.88,22.2,.48,.08,.09,.4,1.6,42,.88,3.9,0.018,0.46,SST,N
0.240,6.10,80251,.88,22.2,1.6,.28,.2,.9,1.3,34,2.3,10,0.022,0.56,MW,N
0.240,6.10,80251S,.88,22.2,1.4,.24,.2,.7,1.0,26,1.6,7.0,0.022,0.56,SST,N
0.240,6.10,80265,.88,22.2,3.8,.66,.4,2,.87,22,3.6,16,0.026,0.66,MW,N
0.240,6.10,80265S,.88,22.2,3.2,.56,.3,1,.68,17,2.5,11,0.026,0.66,SST,N
0.240,6.10,80283,.88,22.2,6.5,1.1,.5,2,.69,18,5.0,22,0.029,0.74,MW,N
0.240,6.10,80283S,.88,22.2,5.5,.97,.4,2,.54,14,3.4,15,0.029,0.74,SST,N
0.240,6.10,80301,.88,22.2,9.4,1.6,.6,3,.59,15,6.1,27,0.031,0.79,MW,N
0.240,6.10,80301S,.88,22.2,7.9,1.4,.5,2,.46,12,4.1,18,0.031,0.79,SST,N
0.240,6.10,80319,.88,22.2,15,2.6,.8,3,.49,12,7.9,35,0.034,0.86,MW,N
0.240,6.10,80319S,.88,22.2,13,2.2,.6,3,.38,9.6,5.4,24,0.034,0.86,SST,N
0.240,6.10,80337,.88,22.2,24,4.1,1,5,.36,9.2,9.6,43,0.037,0.94,MW,N
0.240,6.10,80337S,.88,22.2,20,3.5,.9,4,.29,7.3,6.6,30,0.037,0.94,SST,N
0.240,6.10,80356,.88,22.2,55,9.6,1,5,.21,5.3,13,56,0.041,1.04,MW,N
0.240,6.10,80356S,.88,22.2,46,8.0,.9,4,.17,4.2,8.5,38,0.041,1.04,SST,N
0.240,6.10,80239,1.00,25.4,.46,.08,.1,.5,2.6,66,1.3,5.8,0.018,0.46,MW,N
0.240,6.10,80239S,1.00,25.4,.39,.07,.09,.4,2.0,52,.88,3.9,0.018,0.46,SST,N
0.240,6.10,80252,1.00,25.4,1.2,.21,.2,.9,1.7,44,2.3,10,0.022,0.56,MW,N
0.240,6.10,80252S,1.00,25.4,1.0,.18,.2,.7,1.3,34,1.6,7.0,0.022,0.56,SST,N
0.240,6.10,80266,1.00,25.4,2.9,.51,.4,2,1.1,29,3.6,16,0.026,0.66,MW,N
0.240,6.10,80266S,1.00,25.4,2.5,.43,.3,1,.88,22,2.5,11,0.026,0.66,SST,N
0.240,6.10,80284,1.00,25.4,5.1,.89,.5,2,.88,22,5.0,22,0.029,0.74,MW,N
0.240,6.10,80284S,1.00,25.4,4.3,.76,.4,2,.69,17,3.4,15,0.029,0.74,SST,N
0.240,6.10,80302,1.00,25.4,7.2,1.3,.6,3,.76,19,6.1,27,0.031,0.79,MW,N
0.240,6.10,80302S,1.00,25.4,6.1,1.1,.5,2,.59,15,4.1,18,0.031,0.79,SST,N
0.240,6.10,80320,1.00,25.4,12,2.1,.8,3,.61,15,7.9,35,0.034,0.86,MW,N
0.240,6.10,80320S,1.00,25.4,10,1.7,.6,3,.48,12,5.4,24,0.034,0.86,SST,N
0.240,6.10,80338,1.00,25.4,19,3.3,.9,4,.46,12,9.4,42,0.037,0.94,MW,N
0.240,6.10,80338S,1.00,25.4,16,2.8,.8,3,.36,9.1,6.5,29,0.037,0.94,SST,N
0.240,6.10,80357,1.00,25.4,32,5.7,1,5,.36,9.0,13,56,0.041,1.04,MW,N
0.240,6.10,80357S,1.00,25.4,27,4.8,.9,4,.28,7.1,8.6,38,0.041,1.04,SST,N
0.240,6.10,80240,1.13,28.6,.33,.06,.1,.4,3.6,92,1.3,5.7,0.018,0.46,MW,N
0.240,6.10,80240S,1.13,28.6,.28,.05,.09,.4,2.8,71,.87,3.9,0.018,0.46,SST,N
0.240,6.10,80253,1.13,28.6,1.0,.18,.2,.9,2.1,53,2.3,10,0.022,0.56,MW,N
0.240,6.10,80253S,1.13,28.6,.87,.15,.2,.7,1.6,41,1.6,7.0,0.022,0.56,SST,N
0.240,6.10,80267,1.13,28.6,2.4,.42,.4,2,1.4,35,3.6,16,0.026,0.66,MW,N
0.240,6.10,80267S,1.13,28.6,2.0,.36,.3,1,1.1,27,2.5,11,0.026,0.66,SST,N
0.240,6.10,80285,1.13,28.6,4.2,.74,.5,2,1.1,27,5.0,22,0.029,0.74,MW,N
0.240,6.10,80285S,1.13,28.6,3.6,.63,.4,2,.84,21,3.4,15,0.029,0.74,SST,N
0.240,6.10,80303,1.13,28.6,6.1,1.1,.6,3,.90,23,6.1,27,0.031,0.79,MW,N
0.240,6.10,80303S,1.13,28.6,5.2,.91,.5,2,.70,18,4.1,18,0.031,0.79,SST,N
0.240,6.10,80321,1.13,28.6,9.9,1.7,.8,3,.73,18,7.9,35,0.034,0.86,MW,N
0.240,6.10,80321S,1.13,28.6,8.4,1.5,.6,3,.57,14,5.4,24,0.034,0.86,SST,N
0.240,6.10,80339,1.13,28.6,16,2.7,.9,4,.54,14,9.4,42,0.037,0.94,MW,N
0.240,6.10,80339S,1.13,28.6,13,2.3,.8,3,.43,11,6.5,29,0.037,0.94,SST,N
0.240,6.10,80358,1.13,28.6,27,4.7,1,5,.43,11,13,56,0.041,1.04,MW,N
0.240,6.10,80358S,1.13,28.6,23,4.0,.9,4,.33,8.5,8.6,38,0.041,1.04,SST,N
0.240,6.10,80241,1.25,31.8,.29,.05,.1,.5,4.1,104,1.3,5.8,0.018,0.46,MW,N
0.240,6.10,80241S,1.25,31.8,.25,.04,.09,.4,3.2,81,.88,3.9,0.018,0.46,SST,N
0.240,6.10,80254,1.25,31.8,.85,.15,.2,.9,2.5,64,2.3,10,0.022,0.56,MW,N
0.240,6.10,80254S,1.25,31.8,.72,.13,.2,.7,1.9,49,1.6,7.0,0.022,0.56,SST,N
0.240,6.10,80268,1.25,31.8,2.0,.35,.4,2,1.6,42,3.6,16,0.026,0.66,MW,N
0.240,6.10,80268S,1.25,31.8,1.7,.30,.3,1,1.3,32,2.5,11,0.026,0.66,SST,N
0.240,6.10,80286,1.25,31.8,3.6,.63,.5,2,1.3,32,5.0,22,0.029,0.74,MW,N
0.240,6.10,80286S,1.25,31.8,3.1,.54,.4,2,.98,25,3.4,15,0.029,0.74,SST,N
0.240,6.10,80304,1.25,31.8,5.1,.89,.6,3,1.1,27,6.1,27,0.031,0.79,MW,N
0.240,6.10,80304S,1.25,31.8,4.3,.76,.5,2,.84,21,4.1,18,0.031,0.79,SST,N
0.240,6.10,80322,1.25,31.8,8.4,1.5,.8,3,.85,22,7.9,35,0.034,0.86,MW,N
0.240,6.10,80322S,1.25,31.8,7.1,1.3,.6,3,.66,17,5.4,24,0.034,0.86,SST,N
0.240,6.10,80340,1.25,31.8,13,2.3,.9,4,.64,16,9.4,42,0.037,0.94,MW,N
0.240,6.10,80340S,1.25,31.8,11,2.0,.8,3,.50,13,6.5,29,0.037,0.94,SST,N
0.240,6.10,80359,1.25,31.8,23,4.0,1,5,.50,13,13,56,0.041,1.04,MW,N
0.240,6.10,80359S,1.25,31.8,20,3.4,.9,4,.39,10,8.6,38,0.041,1.04,SST,N
0.240,6.10,80242,1.38,34.9,.24,.04,.1,.4,5.0,126,1.3,5.7,0.018,0.46,MW,N
0.240,6.10,80242S,1.38,34.9,.20,.04,.09,.4,3.9,98,.87,3.9,0.018,0.46,SST,N
0.240,6.10,80255,1.38,34.9,.75,.13,.2,.9,2.8,72,2.3,10,0.022,0.56,MW,N
